LearningRate	TrainLoss	ValidLoss	AvgAcc. 	TrainAcc.	ValidAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.100000	1.706927	2.190843	32.860000	35.986000	32.860000	15.683256	0.976353	
0.100000	1.210800	1.428004	32.860000	55.944000	48.960000	16.363570	1.067607	
0.100000	1.012303	1.359079	40.910000	63.616000	57.640000	17.234519	1.056694	
0.100000	0.893767	1.367116	46.636000	68.146000	58.200000	15.649637	1.024068	
0.100000	0.806399	0.909188	49.198519	71.664000	69.060000	16.202813	0.973050	
0.100000	0.733531	0.964861	53.662915	74.460000	67.390000	17.053437	1.060846	
0.100000	0.693019	0.766939	55.730488	75.770000	73.390000	15.600239	1.084448	
0.100000	0.650613	0.882701	58.384190	77.230000	70.840000	15.761155	1.613948	
0.100000	0.623137	0.761270	59.611459	78.554000	74.880000	17.928489	1.629265	
0.100000	0.600039	0.915092	61.230326	79.218000	69.940000	15.616323	1.077968	
0.100000	0.575807	0.658402	61.572166	79.968000	77.720000	16.023059	1.633277	
0.100000	0.562283	0.699406	63.064879	80.458000	76.680000	18.580606	1.065447	
0.100000	0.548632	0.811756	64.037740	80.764000	73.560000	17.762154	1.065852	
0.100000	0.530576	0.865504	64.381879	81.508000	72.370000	15.698893	1.080766	
0.100000	0.523949	0.824524	64.527007	81.824000	74.760000	17.700052	1.045558	
0.100000	0.512828	0.717375	64.946312	82.276000	76.800000	15.693922	1.171772	
0.100000	0.499968	0.764530	65.522094	82.692000	74.630000	15.898524	1.077426	
0.100000	0.494399	0.735212	65.768996	82.836000	76.450000	15.915612	0.960062	
0.100000	0.491584	1.155067	66.165795	82.968000	65.410000	15.751580	1.001187	
0.100000	0.487277	1.094715	65.450960	83.224000	68.780000	15.788448	1.098775	
0.100000	0.473158	0.740850	65.181715	83.772000	75.400000	17.066190	1.636107	
0.100000	0.472491	0.667978	65.541564	83.630000	77.580000	16.934529	1.064836	
0.100000	0.466356	0.683654	66.029946	84.024000	77.280000	16.659816	1.599275	
0.100000	0.459390	0.791484	66.423478	83.958000	74.830000	17.312627	1.076495	
0.100000	0.452984	0.732353	66.575238	84.434000	76.440000	16.682712	1.033221	
